rank,nome,instituicao,titulacao,linhas_pesquisa,pontuacao_PA,classificacao_PA,pontuacao_S,classificacao_S,pontuacao_C,classificacao_C,pontuacao_F,classificacao_F,pontuacao_media,PA_PA1,PA_PA2,PA_PA3,PA_PA4,S_S1,S_S2,S_S3,C_C1,C_C2,C_C3,C_C4,C_C5,F_F1,F_F2,F_F3,F_F4,N_N1,N_N2,classificacao_final,justificativa_classificacao,curriculo_lattes,arquivo_origem,timestamp
11,Laís Canniatti Brazaca,"Universidade de São Paulo (USP), Instituto de Química de São Carlos (IQSC)",Professora Doutora,"Desenvolvimento de biossensores (imunossensores, biossensores enzimáticos e baseados em ácidos nucléicos), construção de dispositivos microfluídicos e eletrodos, nanotecnologia.",3.333333333333333,BAIXA,0.0,BAIXA,2.0,BAIXA,0.0,BAIXA,1.3333333333333333,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 1.3, poucas categorias relevantes",,FAPESP_Laís_Canniatti_Brazaca_20250907_130258.json,2025-09-22T14:43:38.462666
12,Elza Tiemi Sakamoto Hojo,Universidade de São Paulo (USP). Faculdade de Medicina de Ribeirão Preto (FMRP),Professor Associado MS-5,"Genética, Mutagênese e instabilidade genômica, respostas celulares e sinalização molecular em células irradiadas ou expostas a drogas antitumorais e potenciais fármacos, influência do danos oxidativos e neurotóxicos na etiopatogenia da doença de Alzheimer e diabetes tipo 2.",0.0,BAIXA,3.333333333333333,BAIXA,2.0,MODERADA,0.0,BAIXA,1.3333333333333333,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 1.3, poucas categorias relevantes",,FAPESP_Elza_Tiemi_Sakamoto_Hojo_20250907_130258.json,2025-09-22T14:43:40.472410
13,Antonio Claudio Tedesco,"Universidade de São Paulo (USP). Faculdade de Filosofia, Ciências e Letras de Ribeirão Preto (FFCLRP)",Professor Titular,"Terapia Fotodinâmica, Fotobiologia e Engenharia Tecidual; Química e Farmácia, com ênfase em Fotoquímica, Fotobiologia e Fotomedicina.",0.0,BAIXA,0.0,BAIXA,0.0,BAIXA,5.0,MODERADA,1.25,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 1.2, poucas categorias relevantes",,FAPESP_Antonio_Claudio_Tedesco_20250907_130258.json,2025-09-22T14:43:39.468521
14,André Luiz Meleiro Porto,Universidade de São Paulo (USP). Instituto de Química de São Carlos (IQSC),ref. ms3 - RDIDP,"Biocatálise e biotransformação de compostos orgânicos utilizando microrganismos nativos isolados do território nacional (microrganismos de origem marinha, fungos isolados de algas marinhas). Reações enzimáticas: óxido-redução, hidrólises, Baeyer-Villiger, oxidação de sulfetos, oxidação de nitrilas. ",5.0,BAIXA,0.0,BAIXA,0.0,BAIXA,0.0,BAIXA,1.25,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 1.2, poucas categorias relevantes",,FAPESP_André_Luiz_Meleiro_Porto_20250907_130258.json,2025-09-22T14:43:37.458470
15,Igor Renato Bertoni Olivares,Universidade de São Paulo (USP). Instituto de Química de São Carlos (IQSC),Professor Doutor,"Gestão de Qualidade em Laboratórios, ISO/IEC 17025, BPL, Validação de métodos, Estimativa de incerteza, Cartas de Controle, Produção de Materiais de Referência, Ensaios de Proficiência, Acreditação de processos de amostragem na área ambiental, Cromatografia, Técnicas de Preparo de Amostras.",1.6666666666666665,BAIXA,3.333333333333333,MODERADA,0.0,BAIXA,0.0,BAIXA,1.25,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 1.2, poucas categorias relevantes",,FAPESP_Igor_Renato_Bertoni_Olivares_20250907_130258.json,2025-09-22T14:43:27.411698
16,Hamilton Brandão Varela de Albuquerque,Universidade de São Paulo (USP) - Instituto de Química de São Carlos (IQSC),Professor Doutor,"Gestão de Qualidade em Laboratórios, ISO/IEC 17025, BPL, Validação de métodos, Estimativa de incerteza, Cartas de Controle, Produção de Materiais de Referência, Ensaios de Proficiência, Acreditação de processos de amostragem na área ambiental, Cromatografia, Técnicas de Preparo de Amostras.",1.6666666666666665,BAIXA,3.333333333333333,MODERADA,0.0,BAIXA,0.0,BAIXA,1.25,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 1.2, poucas categorias relevantes",,FAPESP_Hamilton_Brandão_Varela_de_Albuquerque_20250907_130258.json,2025-09-22T14:43:34.445163
17,Frank Nelson Crespilho,Universidade de São Paulo (USP). Instituto de Química de São Carlos (IQSC),Livre-Docente,"Bioeletroquímica, energia sustentável, saúde, integração de sistemas biológicos a materiais eletroativos, desenvolvimento de biochips implantáveis, bio-baterias, Catálise Tridimensional, diagnóstico molecular.",5.0,ALTA,0.0,BAIXA,0.0,BAIXA,0.0,BAIXA,1.25,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 1.2, poucas categorias relevantes",,FAPESP_Frank_Nelson_Crespilho_20250907_130258.json,2025-09-22T14:43:28.413038
18,Antonio Eduardo Miller Crotti,"Universidade de São Paulo (USP). Faculdade de Filosofia, Ciências e Letras de Ribeirão Preto (FFCLRP)",Livre-Docente,"Espectrometria de Massas, Química de Produtos Naturais e Química Orgânica.",1.6666666666666665,BAIXA,0.0,BAIXA,0.0,BAIXA,2.5,MODERADA,1.0416666666666665,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 1.0, poucas categorias relevantes",,FAPESP_Antonio_Eduardo_Miller_Crotti_20250907_130258.json,2025-09-22T14:43:46.500522
19,Fernando Mauro Lanças,Universidade de São Paulo (USP). Instituto de Química de São Carlos (IQSC),Professor Titular,"Técnicas de preparo de amostras, separação cromatográfica, acoplamento com espectrometria de massas, desenvolvimento de novos materiais para técnicas de separação, acoplamento on-line entre técnicas de preparo de amostras, cromatografia e espectrometria de massas.",1.6666666666666665,BAIXA,0.0,BAIXA,2.0,BAIXA,0.0,BAIXA,0.9166666666666666,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 0.9, poucas categorias relevantes",,FAPESP_Fernando_Mauro_Lanças_20250907_130258.json,2025-09-22T14:43:32.433925
20,Milton Groppo Junior,"Faculdade de Filosofia, Ciências e Letras de Ribeirão Preto (FFCLRP-USP)",Professor Titular,"Sistemática de Espermatófitas; taxonomia, filogenia e florística; Rutaceae e Aquifoliaceae.",1.6666666666666665,BAIXA,0.0,BAIXA,2.0,MODERADA,0.0,BAIXA,0.9166666666666666,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 0.9, poucas categorias relevantes",,FAPESP_Milton_Groppo_Junior_20250907_130258.json,2025-09-22T14:43:29.419277
21,Marcos Roberto de Vasconcelos Lanza,Universidade de São Paulo (USP). Instituto de Química de São Carlos (IQSC),Professor Associado nível 3 (MS 5.3),"Eletroquímica ambiental, eletroquímica aplicada, eletrocatalisadores, eletrodos de difusão gasosa, eletrogeração de peróxido de hidrogênio, tratamento eletroquímico de efluentes, reatores eletroquímicos, processos eletroquímicos oxidativos avançados (PEOA) associados ao tratamento de efluentes.",1.6666666666666665,BAIXA,0.0,BAIXA,2.0,BAIXA,0.0,BAIXA,0.9166666666666666,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 0.9, poucas categorias relevantes",,FAPESP_Marcos_Roberto_de_Vasconcelos_Lanza_20250907_130258.json,2025-09-22T14:43:38.461966
22,Bruno Spinosa de Martinis,"Universidade de São Paulo (USP), Faculdade de Filosofia, Ciências e Letras de Ribeirão Preto (FFCLRP)",Professor Associado 3,"Química Analítica Forense, desenvolvimento de métodos analíticos para drogas de abuso, toxicologia forense.",1.6666666666666665,BAIXA,0.0,BAIXA,2.0,MODERADA,0.0,BAIXA,0.9166666666666666,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 0.9, poucas categorias relevantes",,FAPESP_Bruno_Spinosa_de_Martinis_20250907_130258.json,2025-09-22T14:43:39.468089
23,Marcelo Tadeu Motokane,"Universidade de São Paulo (USP). Faculdade de Filosofia, Ciências e Letras de Ribeirão Preto (FFCLRP)",Professor Associado,Argumentação no ensino de ciências e biologia; Linguagem e ensino de ciências; Educação ambiental; Formação de professores de ciências e biologia.,1.6666666666666665,BAIXA,0.0,BAIXA,2.0,MODERADA,0.0,BAIXA,0.9166666666666666,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 0.9, poucas categorias relevantes",,FAPESP_Marcelo_Tadeu_Motokane_20250907_130258.json,2025-09-22T14:43:46.500152
24,Jose Mauricio Rosolen,"Universidade de São Paulo (USP). Faculdade de Filosofia, Ciências e Letras de Ribeirão Preto (FFCLRP)",Livre-Docente em Físico-Química; Associado III,"Físico-química de materiais; baterias de íons de lítio (Li) e sódio (Na), supercapacitores, filtros, reforço mecânico, tecidos de fibra de carbono, sensores; modificações de eletrodos para H2, novos designs de eletrodos para Li e Na, membranas de separação de CO2 e a produção eletroquímica de esfera",1.6666666666666665,BAIXA,0.0,BAIXA,2.0,BAIXA,0.0,BAIXA,0.9166666666666666,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 0.9, poucas categorias relevantes",,FAPESP_Jose_Mauricio_Rosolen_20250907_130258.json,2025-09-22T14:43:48.507021
25,Marcia Maria Gentile Bitondi,"Universidade de São Paulo (USP). Faculdade de Filosofia, Ciências e Letras de Ribeirão Preto (FFCLRP)",Professor Assistente-Doutor,"Biologia do Desenvolvimento de Abelhas, genética e fisiologia endócrina da metamorfose e reprodução.",0.0,BAIXA,3.333333333333333,MODERADA,0.0,BAIXA,0.0,BAIXA,0.8333333333333333,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 0.8, poucas categorias relevantes",,FAPESP_Marcia_Maria_Gentile_Bitondi_20250907_130258.json,2025-09-22T14:43:46.499980
26,Júlio César Borges,Universidade de São Paulo (USP). Instituto de Química de São Carlos (IQSC),Professor Associado,"Expressão Heteróloga de Proteínas, Biologia Molecular, Biologia Estrutural, Biofísica de Proteínas, Chaperonas Moleculares (Hsp70, Hsp90); técnicas como Dicroísmo Circular, Fluorescência, Calorimetria e Ultracentrifugação Analítica.",3.333333333333333,MODERADA,0.0,BAIXA,0.0,BAIXA,0.0,BAIXA,0.8333333333333333,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 0.8, poucas categorias relevantes",,FAPESP_Júlio_César_Borges_20250907_130258.json,2025-09-22T14:43:41.477928
27,Sergio Antonio Spinola Machado,"Universidade de São Paulo (USP), Instituto de Química de São Carlos (IQSC)",Professor Associado 3,"Química, com ênfase em Eletroanalítica.",3.333333333333333,BAIXA,0.0,BAIXA,0.0,BAIXA,0.0,BAIXA,0.8333333333333333,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 0.8, poucas categorias relevantes",,FAPESP_Sergio_Antonio_Spinola_Machado_20250907_130258.json,2025-09-22T14:43:37.457617
28,Nathália Gonsales da Rosa Garzon,"Universidade de São Paulo (USP). Faculdade de Filosofia, Ciências e Letras de Ribeirão Preto (FFCLRP)",Professora Doutora,"Bioprospecção de microrganismos; cultivo de diferentes sistemas de expressão (células de mamíferos, fungos filamentosos, bactérias e leveduras); produção, purificação e caracterização de enzimas homólogas e recombinantes; aplicações tecnológicas de enzimas.",3.333333333333333,MODERADA,0.0,BAIXA,0.0,BAIXA,0.0,BAIXA,0.8333333333333333,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 0.8, poucas categorias relevantes",,FAPESP_Nathália_Gonsales_da_Rosa_Garzon_20250907_130258.json,2025-09-22T14:43:26.409998
29,Marcia Nitschke,Universidade de São Paulo (USP). Instituto de Química de São Carlos (IQSC),Professor Associado (MS 5),"Microbiologia Aplicada, produção de biotensoativos microbianos e sua aplicação na área de alimentos, farmacêutica e ambiental.",3.333333333333333,MODERADA,0.0,BAIXA,0.0,BAIXA,0.0,BAIXA,0.8333333333333333,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 0.8, poucas categorias relevantes",,FAPESP_Marcia_Nitschke_20250907_130258.json,2025-09-22T14:43:32.435399
30,Zilá Luz Paulino Simões,Universidade de São Paulo,Professor Assistente Doutor,Genética Animal; Biologia e Genética do Desenvolvimento de Abelhas; Análise genômica; Regulação da expressão gênica; Determinação do sexo; Castas; Comportamento; Reprodução.,0.0,BAIXA,3.333333333333333,MODERADA,0.0,BAIXA,0.0,BAIXA,0.8333333333333333,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 0.8, poucas categorias relevantes",,FAPESP_Zilá_Luz_Paulino_Simões_20250907_130258.json,2025-09-22T14:43:33.438940
31,Fábio Santos do Nascimento,"Universidade de São Paulo, Campus de Ribeirão Preto",Professor Associado,Zoologia (ênfase em Comportamento Animal); Ecologia comportamental; Ecologia química; Insetos sociais; Evolução do comportamento social,0.0,BAIXA,3.333333333333333,MODERADA,0.0,BAIXA,0.0,BAIXA,0.8333333333333333,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 0.8, poucas categorias relevantes",,FAPESP_Fábio_Santos_do_Nascimento_20250907_130258.json,2025-09-22T14:43:28.413580
32,Andrei Leitão,Universidade de São Paulo (USP). Instituto de Química de São Carlos (IQSC),Professor associado,"Descoberta de fármacos usando quimioinformática, química medicinal e ensaios celulares aplicados em câncer.",0.0,BAIXA,3.333333333333333,MODERADA,0.0,BAIXA,0.0,BAIXA,0.8333333333333333,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 0.8, poucas categorias relevantes",,FAPESP_Andrei_Leitão_20250907_130258.json,2025-09-22T14:43:28.413955
33,Elisabete Frollini,Universidade de São Paulo (USP). Instituto de Química de São Carlos (IQSC),Professor Associado 3,Síntese e aplicações de derivados de celulose e outros polímeros naturais; Compósitos de matriz polimérica reforçados com fibras lignocelulósicas; Utilização de matéria-prima de fontes renováveis na preparação de polímeros; Eletrofiação (electrospinning).,3.333333333333333,MODERADA,0.0,BAIXA,0.0,BAIXA,0.0,BAIXA,0.8333333333333333,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 0.8, poucas categorias relevantes",,FAPESP_Elisabete_Frollini_20250907_130258.json,2025-09-22T14:43:27.410956
34,Fernanda Canduri,Universidade de São Paulo (USP). Instituto de Química de São Carlos (IQSC),Professora Doutora,Bioquímica e Biologia Molecular; Biologia Estrutural; Estudo estrutural de proteínas,3.333333333333333,MODERADA,0.0,BAIXA,0.0,BAIXA,0.0,BAIXA,0.8333333333333333,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 0.8, poucas categorias relevantes",,FAPESP_Fernanda_Canduri_20250907_130258.json,2025-09-22T14:43:43.488998
35,Maura Helena Manfrin,Universidade de São Paulo,Professora Associada,Genética evolutiva; variação geográfica e populações naturais; filogeografia; morfologia; expressão gênica na relação inseto-planta; zonas híbridas.  Modelos biológicos principais: espécies cactófilas de Drosophila (grupo repleta) da América do Sul.,0.0,BAIXA,3.333333333333333,MODERADA,0.0,BAIXA,0.0,BAIXA,0.8333333333333333,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 0.8, poucas categorias relevantes",,FAPESP_Maura_Helena_Manfrin_20250907_130258.json,2025-09-22T14:43:49.509918
36,Ana Maria de Guzzi Plepis,Universidade de São Paulo,Professor Doutor,"Engenharia Biomédica, com ênfase em Biomateriais; colágeno, quitosana, colageno, hidróxiapatita e reologia.",0.0,BAIXA,0.0,BAIXA,0.0,BAIXA,2.5,MODERADA,0.625,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 0.6, poucas categorias relevantes",,FAPESP_Ana_Maria_de_Guzzi_Plepis_20250907_130258.json,2025-09-22T14:43:44.490530
37,Ana Paula Ramos,"Universidade de São Paulo (USP). Faculdade de Filosofia, Ciências e Letras de Ribeirão Preto (FFCLRP)",Professora Associada,"Formação e caracterização superficial de sistemas coloidais, nanopartículas e filmes finos; formação de matrizes biomiméticas contendo biominerais, aplicações em sistemas osteoindutores.",0.0,BAIXA,0.0,BAIXA,0.0,BAIXA,2.5,MODERADA,0.625,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,CLIENTE INADEQUADO,Cliente inadequado: sem uso de proteínas recombinantes e área não correlata à biotecnologia,,FAPESP_Ana_Paula_Ramos_20250907_130258.json,2025-09-22T14:43:35.450045
38,Daniel Junqueira Dorta,"Universidade de São Paulo (USP). Faculdade de Filosofia, Ciências e Letras de Ribeirão Preto (FFCLRP)",Professor Titular,"Toxicologia Bioquímica, mitocôndria, morte celular, apoptose, autofagia, cultura de células e contaminantes emergentes.",0.0,BAIXA,0.0,BAIXA,0.0,BAIXA,2.5,MODERADA,0.625,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 0.6, poucas categorias relevantes",,FAPESP_Daniel_Junqueira_Dorta_20250907_130258.json,2025-09-22T14:43:31.429075
39,Bianca Chieregato Maniglia,"Universidade de São Paulo (USP), Instituto de Química de São Carlos (IQSC)",Professora Doutora,"Polímeros naturais, biomateriais, impressão 3D, modificação de amido, scaffolds ósseos.",0.0,BAIXA,0.0,BAIXA,0.0,BAIXA,2.5,MODERADA,0.625,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 0.6, poucas categorias relevantes",,FAPESP_Bianca_Chieregato_Maniglia_20250907_130258.json,2025-09-22T14:43:33.439847
40,Fernanda de Lourdes Souza,Universidade de São Paulo (USP). Instituto de Química de São Carlos (IQSC),Pesquisadora,,0.0,BAIXA,0.0,BAIXA,2.0,MODERADA,0.0,BAIXA,0.5,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 0.5, poucas categorias relevantes",,FAPESP_Fernanda_de_Lourdes_Souza_20250907_130258.json,2025-09-22T14:43:32.434819
41,Glaucia Maria da Silva Degrève,"Universidade de São Paulo (USP). Faculdade de Filosofia, Ciências e Letras de Ribeirão Preto (FFCLRP)",Professora Doutora,"Ensino de química, história da química, formação de professores, relações étnico-raciais e de gênero.",0.0,BAIXA,0.0,BAIXA,2.0,MODERADA,0.0,BAIXA,0.5,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 0.5, poucas categorias relevantes",,FAPESP_Glaucia_Maria_da_Silva_Degrève_20250907_130258.json,2025-09-22T14:43:44.491350
