nome,instituicao,titulacao,linhas_pesquisa,curriculo_lattes,pontuacao_PA,pontuacao_S,pontuacao_C,pontuacao_F,pontuacao_media,classificacao_PA,classificacao_S,classificacao_C,classificacao_F,fator_N1,fator_N2,classificacao_final,justificativa_classificacao,arquivo_origem,timestamp,rank,rank_categoria,PA_PA1,PA_PA2,PA_PA3,PA_PA4,S_S1,S_S2,S_S3,C_C1,C_C2,C_C3,C_C4,C_C5,F_F1,F_F2,F_F3,F_F4,N_N1,N_N2
Flávio Alicino Bockmann,"Universidade de São Paulo (USP). Faculdade de Filosofia, Ciências e Letras de Ribeirão Preto (FFCLRP)",Livre Docente,"Filogenia e anatomia comparada de vertebrados viventes e fósseis; aspectos filosóficos, teóricos, históricos e políticos da ciência, especialmente da taxonomia e da sistemática filogenética.",,0.0,0.0,2.0,0.0,0.5,BAIXA,BAIXA,MODERADA,BAIXA,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 0.5, poucas categorias relevantes",FAPESP_Flávio_Alicino_Bockmann_20250907_130258.json,2025-09-22T14:43:46.500869,45,11,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Glaucia Maria da Silva Degrève,"Universidade de São Paulo (USP). Faculdade de Filosofia, Ciências e Letras de Ribeirão Preto (FFCLRP)",Professora Doutora,"Ensino de química, história da química, formação de professores, relações étnico-raciais e de gênero.",,0.0,0.0,2.0,0.0,0.5,BAIXA,BAIXA,MODERADA,BAIXA,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 0.5, poucas categorias relevantes",FAPESP_Glaucia_Maria_da_Silva_Degrève_20250907_130258.json,2025-09-22T14:43:44.491350,41,12,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Joelma Perez,Universidade de São Paulo (USP). Instituto de Química de São Carlos (IQSC),Docente,"Eletroquímica e Energias Renováveis; eletrocatálise e desenvolvimento de células a combustível; células a combustível de baixa e alta temperatura e às reações de oxidação de amônia, etanol e ureia, além da redução de nitrogênio e nitrato; produção sustentável de hidrogênio.",,0.0,0.0,2.0,0.0,0.5,BAIXA,BAIXA,MODERADA,BAIXA,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 0.5, poucas categorias relevantes",FAPESP_Joelma_Perez_20250907_130258.json,2025-09-22T14:43:39.467077,50,13,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Laudemir Carlos Varanda,Universidade de São Paulo (USP). Instituto de Química de São Carlos (IQSC),Professor Associado (Livre-Docente),"Nanopartículas metálicas, dispersões coloidais, tamanho e forma de partículas, distribuição de tamanho, estabilidade de colóides, materiais magnéticos, propriedades magnéticas e estruturais, materiais magnéticos para biomedicina.",,0.0,0.0,0.0,0.0,0.0,BAIXA,BAIXA,BAIXA,BAIXA,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 0.0, poucas categorias relevantes",FAPESP_Laudemir_Carlos_Varanda_20250907_130258.json,2025-09-22T14:43:33.440511,75,14,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Laura Tiemi Okano,,,,,0.0,0.0,0.0,0.0,0.0,BAIXA,BAIXA,BAIXA,BAIXA,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 0.0, poucas categorias relevantes",FAPESP_Laura_Tiemi_Okano_20250907_130258.json,2025-09-22T14:43:39.467411,96,15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Luis Gustavo Dias,"Universidade de São Paulo (USP), Faculdade de Filosofia, Ciências e Letras de Ribeirão Preto (FFCLRP)",Professor Doutor,"Físico-Química Computacional, Matéria Macia, Ciência dos Materiais.",,0.0,0.0,0.0,0.0,0.0,BAIXA,BAIXA,BAIXA,BAIXA,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 0.0, poucas categorias relevantes",FAPESP_Luis_Gustavo_Dias_20250907_130258.json,2025-09-22T14:43:44.490894,105,16,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Marcelo Tadeu Motokane,"Universidade de São Paulo (USP). Faculdade de Filosofia, Ciências e Letras de Ribeirão Preto (FFCLRP)",Professor Associado,Argumentação no ensino de ciências e biologia; Linguagem e ensino de ciências; Educação ambiental; Formação de professores de ciências e biologia.,,1.6666666666666665,0.0,2.0,0.0,0.9166666666666666,BAIXA,BAIXA,MODERADA,BAIXA,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 0.9, poucas categorias relevantes",FAPESP_Marcelo_Tadeu_Motokane_20250907_130258.json,2025-09-22T14:43:46.500152,23,17,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Maria Eugenia Queiroz Nassur,"Universidade de São Paulo (USP). Faculdade de Filosofia, Ciências e Letras de Ribeirão Preto (FFCLRP)",Professor Associado,Padronização de Métodos Cromatográficos para Análise de Fármacos em Fluidos Biológicos; Técnicas Miniaturizadas de Preparo de Amostras; Desenvolvimento de Fases Extratoras; Automação de Sistemas Analíticos; Validação Analítica.,,1.6666666666666665,0.0,0.0,0.0,0.41666666666666663,BAIXA,BAIXA,BAIXA,BAIXA,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 0.4, poucas categorias relevantes",FAPESP_Maria_Eugenia_Queiroz_Nassur_20250907_130258.json,2025-09-22T14:43:34.445637,62,18,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Milton Groppo Junior,"Faculdade de Filosofia, Ciências e Letras de Ribeirão Preto (FFCLRP-USP)",Professor Titular,"Sistemática de Espermatófitas; taxonomia, filogenia e florística; Rutaceae e Aquifoliaceae.",,1.6666666666666665,0.0,2.0,0.0,0.9166666666666666,BAIXA,BAIXA,MODERADA,BAIXA,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 0.9, poucas categorias relevantes",FAPESP_Milton_Groppo_Junior_20250907_130258.json,2025-09-22T14:43:29.419277,20,19,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Modelos Biológicos ou Materiais (Pesquisa Multi-Pesquisadores),"Várias instituições, conforme a lista de pesquisadores.",,"Várias linhas de pesquisa, conforme a lista de pesquisadores.",,0.0,0.0,0.0,0.0,0.0,BAIXA,BAIXA,BAIXA,BAIXA,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 0.0, poucas categorias relevantes",FAPESP_Modelos_Biológicos_ou_Materiais_Pesquisa_Multi-Pes_20250907_130258.json,2025-09-22T14:43:36.455786,98,20,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Paulo Olivi,"Universidade de São Paulo (USP). Faculdade de Filosofia, Ciências e Letras de Ribeirão Preto (FFCLRP)",Professor Titular,"Eletrocatálise, células a combustível, tratamento eletroquímico de efluentes e preparação de novos materiais eletrocatalíticos.",,0.0,0.0,0.0,0.0,0.0,BAIXA,BAIXA,BAIXA,BAIXA,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 0.0, poucas categorias relevantes",FAPESP_Paulo_Olivi_20250907_130258.json,2025-09-22T14:43:28.413343,69,21,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Pietro Ciancaglini,"Universidade de São Paulo (USP). Faculdade de Filosofia, Ciências e Letras de Ribeirão Preto (FFCLRP)",Professor Titular,"Obtenção, solubilização, isolamento/purificação e reconstituição de proteínas de membrana em sistemas lipossomais; Investigação do papel das vesículas extracelulares (VEs) na iniciação, propagação, regeneração e modelagem da mineralização biológica.",,1.6666666666666665,0.0,2.0,2.5,1.5416666666666665,BAIXA,BAIXA,MODERADA,MODERADA,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 1.5, poucas categorias relevantes",FAPESP_Pietro_Ciancaglini_20250907_130258.json,2025-09-22T14:43:27.411338,6,22,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False
Principais Técnicas Experimentais Utilizadas,,,,,0.0,0.0,0.0,0.0,0.0,BAIXA,BAIXA,BAIXA,BAIXA,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 0.0, poucas categorias relevantes",FAPESP_Principais_Técnicas_Experimentais_Utilizadas_20250907_130258.json,2025-09-22T14:43:35.450932,86,23,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Thereza Amélia Soares da Silva,,,,,0.0,0.0,0.0,0.0,0.0,BAIXA,BAIXA,BAIXA,BAIXA,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 0.0, poucas categorias relevantes",FAPESP_Thereza_Amélia_Soares_da_Silva_20250907_130258.json,2025-09-22T14:43:35.450625,87,24,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Tomas Ferreira Domingues,"Universidade de São Paulo (USP). Faculdade de Filosofia, Ciências e Letras de Ribeirão Preto (FFCLRP)",,"Ecologia, ecofisiologia vegetal; funcionamento de ecossistemas tropicais, produtividade primária e ciclos biogeoquímicos; controle exercido pela vegetação sobre os ciclos de carbono, nitrogênio e água.",,0.0,0.0,0.0,0.0,0.0,BAIXA,BAIXA,BAIXA,BAIXA,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 0.0, poucas categorias relevantes",FAPESP_Tomas_Ferreira_Domingues_20250907_130258.json,2025-09-22T14:43:28.414169,82,25,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Vitor Hugo Polisel Pacces,Universidade de São Paulo (USP). Instituto de Química de São Carlos (IQSC),Professor e Pesquisador,"Desenvolvimento de ferramentas computacionais para sistemas de gestão da qualidade e química; Sistemas de Gestão da Qualidade em laboratórios, com ênfase em temas como: Boas Práticas de Laboratório (BPL), ISO/IEC 17025, validação de metodologias analíticas, desenvolvimento de ferramentas para químic",,1.6666666666666665,0.0,0.0,0.0,0.41666666666666663,BAIXA,BAIXA,BAIXA,BAIXA,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 0.4, poucas categorias relevantes",FAPESP_Vitor_Hugo_Polisel_Pacces_20250907_130258.json,2025-09-22T14:43:38.463189,66,26,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Álvaro José dos Santos Neto,Universidade de São Paulo,Professor Associado 2,"Ciências da Separação; Desenvolvimento e Utilização de Estratégias Modernas para o Preparo e Análise de Amostras Ambientais, Biológicas, Farmacêuticas, e de Alimentos; Técnicas Modernas de Preparo de Amostras; Cromatografia-Espectrometria de Massas; Cromatografia Líquida Miniaturizada; Análise de Fá",,1.6666666666666665,0.0,0.0,0.0,0.41666666666666663,BAIXA,BAIXA,BAIXA,BAIXA,False,False,CLIENTE BAIXA PRIORIDADE,"Cliente baixa prioridade: pontuação média 0.4, poucas categorias relevantes",FAPESP_Álvaro_José_dos_Santos_Neto_20250907_130258.json,2025-09-22T14:43:43.488174,55,27,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
